Hari,Jam_Mulai,Jam_Selesai,Prodi,Kode_MK,Kelas,Nama_MK,Jenis,Ruang,Gedung,Lantai,Tipe_Ruang,Dosen,Dosen_Berminat,SKS,Kewajiban,Feasible
Fri,14:30,15:20,Pendidikan Teknologi Informasi,CIE61101,A,Perkembangan Peserta Didik,lecture,F3.10,F,3,Kelas,39,True,3,1,False
Fri,14:30,15:20,Pendidikan Teknologi Informasi,COM60052,B,Etika Profesi,lecture,F3.17,F,3,Kelas,94,True,2,1,False
Fri,14:30,15:20,Pendidikan Teknologi Informasi,COM60051,D,Metodologi Penelitian dan Penulisan Ilmiah,lecture,F3.3,F,3,Kelas,100,True,3,1,False
Fri,14:30,15:20,Teknologi Informasi,COM60014,D,Pemrograman Dasar,lecture,F3.7a,F,3,Kelas,47,True,5,1,False
Fri,14:30,15:20,Teknologi Informasi,CIT62003,D,Dasar Pengembangan Sistem informasi,lecture,F3.8,F,3,Kelas,108,True,3,1,False
Fri,14:30,15:20,Pendidikan Teknologi Informasi,CIE61112,B,Pengenalan Lapangan Persekolahan 2,lecture,F4.11,F,4,Kelas,59,True,3,1,False
Fri,14:30,15:20,Teknologi Informasi,CIT61024,A,Teknologi Keamanan Siber,lecture,F4.12,F,4,Kelas,75,True,3,1,False
Fri,14:30,15:20,Teknologi Informasi,COM60051,C,Metodologi Penelitian dan Penulisan Ilmiah,lecture,F4.5,F,4,Kelas,103,True,3,1,False
Fri,14:30,15:20,Teknologi Informasi,CSD60705,A,Pemrograman SQL,practicum,G1.4,G,1,Lab,60,True,3,1,False
Fri,14:30,15:20,Teknologi Informasi,CIT60044,A,Keamanan Data dan Privasi,practicum,G1.5,G,1,Lab,35,True,3,0,False
Fri,15:20,16:10,Pendidikan Teknologi Informasi,CIE61301,B,Kalkulus dan Aljabar Linear,lecture,F11.3,F,11,Kelas,103,True,3,1,False
Fri,15:20,16:10,Pendidikan Teknologi Informasi,COM60061,D,Capstone Project,lecture,F11.4,F,11,Kelas,76,True,3,1,False
Fri,15:20,16:10,Sistem Informasi,CSD60703,B,Tata Kelola Teknologi Informasi,lecture,F2.9,F,2,Kelas,6,True,3,1,False
Fri,15:20,16:10,Sistem Informasi,CIS61103,C,Manajemen Bisnis,lecture,F3.10,F,3,Kelas,108,True,2,1,False
Fri,15:20,16:10,Sistem Informasi,COM60014,A,Pemrograman Dasar,lecture,F3.3,F,3,Kelas,82,True,5,1,False
Fri,15:20,16:10,Pendidikan Teknologi Informasi,COM60014,C,Pemrograman Dasar,lecture,F3.9,F,3,Kelas,67,True,5,1,False
Fri,15:20,16:10,Sistem Informasi,COM60052,A,Etika Profesi,lecture,F4.10,F,4,Kelas,4,True,2,1,False
Fri,15:20,16:10,Teknologi Informasi,CSD60703,D,Tata Kelola Teknologi Informasi,lecture,F4.13,F,4,Kelas,15,True,3,1,False
Fri,15:20,16:10,Pendidikan Teknologi Informasi,CIE61215,A,Pengembangan Aplikasi Peranti Bergerak,lecture,F4.2,F,4,Kelas,47,True,3,0,False
Fri,15:20,16:10,Teknologi Informasi,COM60061,A,Capstone Project,lecture,F4.4,F,4,Kelas,14,True,3,1,False
Fri,15:20,16:10,Teknologi Informasi,CIT60049,A,Teknologi Basis Data Non Relational,lecture,F4.5,F,4,Kelas,102,True,3,0,False
Fri,15:20,16:10,Pendidikan Teknologi Informasi,COM60015,C,Matematika Diskret,lecture,F4.7,F,4,Kelas,100,True,2,1,False
Fri,15:20,16:10,Teknologi Informasi,CSD60705,C,Pemrograman SQL,practicum,G1.8,G,1,Lab,91,True,3,1,False
Fri,15:20,16:10,Pendidikan Teknologi Informasi,CIE61206,B,Jaringan Komputer,practicum,G1.9,G,1,Lab,75,True,3,1,False
Fri,16:10,17:00,Pendidikan Teknologi Informasi,COM60061,A,Capstone Project,lecture,F11.1,F,11,Kelas,48,True,3,1,False
Fri,16:10,17:00,Sistem Informasi,COM60015,B,Matematika Diskret,lecture,F11.4,F,11,Kelas,100,True,2,1,False
Fri,16:10,17:00,Teknologi Informasi,CSD60703,A,Tata Kelola Teknologi Informasi,lecture,F2.8,F,2,Kelas,15,True,3,1,False
Fri,16:10,17:00,Teknologi Informasi,CSD60712,D,Probabilitas dan Statistika,lecture,F3.11,F,3,Kelas,93,True,3,1,False
Fri,16:10,17:00,Pendidikan Teknologi Informasi,CIE61112,B,Pengenalan Lapangan Persekolahan 2,lecture,F3.13,F,3,Kelas,59,True,3,1,False
Fri,16:10,17:00,Teknologi Informasi,COM60016,A,Pengantar Keilmuan Komputer,lecture,F3.17,F,3,Kelas,90,True,2,1,False
Fri,16:10,17:00,Sistem Informasi,CIS61112,C,Dasar Manajemen Proyek,lecture,F3.4,F,3,Kelas,47,True,2,1,False
Fri,16:10,17:00,Sistem Informasi,CSD60703,A,Tata Kelola Teknologi Informasi,lecture,F3.5a,F,3,Kelas,108,True,3,1,False
Fri,16:10,17:00,Pendidikan Teknologi Informasi,CIE61205,B,Pemrograman Web,lecture,F3.7a,F,3,Kelas,75,True,3,1,False
Fri,16:10,17:00,Teknologi Informasi,CSD60712,C,Probabilitas dan Statistika,lecture,F4.12,F,4,Kelas,16,True,3,1,False
Fri,16:10,17:00,Pendidikan Teknologi Informasi,CIE61101,A,Perkembangan Peserta Didik,lecture,F4.14,F,4,Kelas,39,True,3,1,False
Fri,16:10,17:00,Sistem Informasi,CSD60712,B,Probabilitas dan Statistika,lecture,F4.7,F,4,Kelas,87,True,3,1,False
Fri,16:10,17:00,Sistem Informasi,COM60014,B,Pemrograman Dasar,lecture,F4.9,F,4,Kelas,91,True,5,1,False
Fri,16:10,17:00,Teknologi Informasi,CIT62003,C,Dasar Pengembangan Sistem informasi,practicum,G1.2,G,1,Lab,31,True,3,1,False
Fri,16:10,17:00,Teknologi Informasi,CIT61026,B,Internet of Things,practicum,G1.4,G,1,Lab,17,True,4,1,False
Fri,16:10,17:00,Pendidikan Teknologi Informasi,CIE61208,A,Basis Data,practicum,G1.9,G,1,Lab,60,True,3,1,False
Fri,17:00,17:50,Teknologi Informasi,COM60061,C,Capstone Project,lecture,F3.1,F,3,Kelas,47,True,3,1,False
Fri,17:00,17:50,Teknologi Informasi,COM60025,D,Kalkulus,lecture,F3.10,F,3,Kelas,75,True,2,1,False
Fri,17:00,17:50,Sistem Informasi,CIS60103,A,Pemrograman Web Lanjut,lecture,F3.14,F,3,Kelas,22,True,3,0,False
Fri,17:00,17:50,Pendidikan Teknologi Informasi,CIE61108,C,Penilaian Hasil Belajar,lecture,F3.16,F,3,Kelas,100,True,3,1,False
Fri,17:00,17:50,Pendidikan Teknologi Informasi,COM60061,D,Capstone Project,lecture,F3.4,F,3,Kelas,76,True,3,1,False
Fri,17:00,17:50,Teknologi Informasi,CIT60053,A,Pengembangan Gim,lecture,F4.11,F,4,Kelas,17,False,3,0,False
Fri,17:00,17:50,Sistem Informasi,COM60061,C,Capstone Project,lecture,F4.13,F,4,Kelas,108,True,3,1,False
Fri,17:00,17:50,Pendidikan Teknologi Informasi,CIE61102,A,Filsafat Pendidikan dan Sains,lecture,F4.6,F,4,Kelas,59,True,4,1,False
Fri,17:00,17:50,Teknologi Informasi,COM60014,B,Pemrograman Dasar,practicum,G1.8,G,1,Lab,91,True,5,1,False
Mon,07:00,07:50,Sistem Informasi,CSD60706,D,Administrasi Basis Data,lecture,F11.1,F,11,Kelas,91,True,3,1,False
Mon,07:00,07:50,Pendidikan Teknologi Informasi,COM60014,D,Pemrograman Dasar,lecture,F11.3,F,11,Kelas,82,True,5,1,False
Mon,07:00,07:50,Sistem Informasi,CSD60708,A,Penambangan Data,lecture,F11.4,F,11,Kelas,16,True,3,0,False
Mon,07:00,07:50,Pendidikan Teknologi Informasi,CIE61215,A,Pengembangan Aplikasi Peranti Bergerak,lecture,F2.4,F,2,Kelas,47,True,3,0,False
Mon,07:00,07:50,Teknologi Informasi,COM60015,D,Matematika Diskret,lecture,F2.6,F,2,Kelas,103,True,2,1,False
Mon,07:00,07:50,Sistem Informasi,COM60015,D,Matematika Diskret,lecture,F3.11,F,3,Kelas,100,True,2,1,False
Mon,07:00,07:50,Pendidikan Teknologi Informasi,COM60052,A,Etika Profesi,lecture,F3.15,F,3,Kelas,22,True,2,1,False
Mon,07:00,07:50,Sistem Informasi,CIS61106,D,Keamanan dan Privasi Data,lecture,F3.18,F,3,Kelas,17,True,2,1,False
Mon,07:00,07:50,Teknologi Informasi,CIT60031,A,Manajemen Proyek Teknologi Informasi,lecture,F3.3,F,3,Kelas,40,True,3,0,False
Mon,07:00,07:50,Teknologi Informasi,CIT61024,B,Teknologi Keamanan Siber,lecture,F3.5a,F,3,Kelas,35,True,3,1,False
