Kode MK,Nama MK,Prodi MK,Prioritas,Berminat,Nama Dosen,Kode MK_y,SKS,Praktikum,Kewajiban
CIE62107,Lingkungan Pembelajaran Digital,Pendidikan Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47,CIE62107,3,1,1
CIE62107,Lingkungan Pembelajaran Digital,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",103,CIE62107,3,1,1
CIE62107,Lingkungan Pembelajaran Digital,Pendidikan Teknologi Informasi,1,Pengampu,40,CIE62107,3,1,1
CIE62107,Lingkungan Pembelajaran Digital,Pendidikan Teknologi Informasi,1,Pengampu,40,CIE62107,3,1,1
CIE61120,Literasi Digital,Pendidikan Teknologi Informasi,1,Pengampu,11,CIE61120,3,0,0
CIE61120,Literasi Digital,Pendidikan Teknologi Informasi,1,Pengampu,11,CIE61120,3,0,0
CIE61120,Literasi Digital,Pendidikan Teknologi Informasi,1,Pengampu,11,CIE61120,3,0,0
CIE61120,Literasi Digital,Pendidikan Teknologi Informasi,2,Pengampu,12,CIE61120,3,0,0
CIE61120,Literasi Digital,Pendidikan Teknologi Informasi,2,Pengampu,103,CIE61120,3,0,0
CSD60701,Manajemen Layanan Teknologi Informasi,Pendidikan Teknologi Informasi,1,"Pengelola, Pengampu",108,CSD60701,3,0,0
CSD60701,Manajemen Layanan Teknologi Informasi,Pendidikan Teknologi Informasi,1,Pengampu,6,CSD60701,3,0,0
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,1,Pengampu,6,CIE61404,3,0,0
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,1,Pengampu,60,CIE61404,3,0,0
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,1,Pengampu,67,CIE61404,3,0,0
CIE61404,Manajemen Proyek Teknologi Informasi,Pendidikan Teknologi Informasi,1,Pengampu,76,CIE61404,3,0,0
