Kode MK,Nama MK,Prodi MK,Prioritas,Berminat,Nama Dosen,Kode MK_y,SKS,Praktikum,Kewajiban
COM60014,Pemrograman Dasar,Teknologi Informasi,1,Pengampu,75,COM60014,5,1,1
COM60014,Pemrograman Dasar,Teknologi Informasi,1,Pengampu,76,COM60014,5,1,1
COM60014,Pemrograman Dasar,Teknologi Informasi,1,Pengampu,82,COM60014,5,1,1
COM60014,Pemrograman Dasar,Teknologi Informasi,1,Pengampu,91,COM60014,5,1,1
COM60014,Pemrograman Dasar,Teknologi Informasi,2,Pengampu,67,COM60014,5,1,1
COM60024,Pemrograman Lanjut,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",20,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Teknologi Informasi,1,"Pengelola, Pengampu",4,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Teknologi Informasi,1,"Pengelola, Pengampu",16,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Teknologi Informasi,1,"Pengelola, Pengampu",22,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Teknologi Informasi,1,"Pengelola, Pengampu",52,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Teknologi Informasi,1,"Pengelola, Pengampu",80,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Teknologi Informasi,1,Pengampu,1,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Teknologi Informasi,1,Pengampu,31,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Teknologi Informasi,1,Pengampu,55,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Teknologi Informasi,1,Pengampu,70,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Teknologi Informasi,1,Pengampu,75,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Teknologi Informasi,1,Pengampu,76,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Teknologi Informasi,1,Pengampu,82,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Teknologi Informasi,1,Pengampu,91,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Teknologi Informasi,1,Pengampu,98,COM60024,5,1,1
COM60024,Pemrograman Lanjut,Teknologi Informasi,2,Pengampu,67,COM60024,5,1,1
CSD60705,Pemrograman SQL,Teknologi Informasi,1,"Pengelola, Pengampu",102,CSD60705,3,1,1
CSD60705,Pemrograman SQL,Teknologi Informasi,1,Pengampu,60,CSD60705,3,1,1
CSD60705,Pemrograman SQL,Teknologi Informasi,1,Pengampu,91,CSD60705,3,1,1
CSD60708,Penambangan Data,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",92,CSD60708,3,0,0
CSD60708,Penambangan Data,Teknologi Informasi,1,"Pengelola, Pengampu",30,CSD60708,3,0,0
CSD60708,Penambangan Data,Teknologi Informasi,1,"Pengelola, Pengampu",107,CSD60708,3,0,0
CSD60708,Penambangan Data,Teknologi Informasi,1,Pengampu,1,CSD60708,3,0,0
CSD60708,Penambangan Data,Teknologi Informasi,1,Pengampu,16,CSD60708,3,0,0
CSD60708,Penambangan Data,Teknologi Informasi,1,Pengampu,20,CSD60708,3,0,0
CSD60708,Penambangan Data,Teknologi Informasi,1,Pengampu,29,CSD60708,3,0,0
CSD60708,Penambangan Data,Teknologi Informasi,1,Pengampu,52,CSD60708,3,0,0
CSD60708,Penambangan Data,Teknologi Informasi,1,Pengampu,80,CSD60708,3,0,0
CSD60708,Penambangan Data,Teknologi Informasi,1,Pengampu,93,CSD60708,3,0,0
CSD60708,Penambangan Data,Teknologi Informasi,1,Pengampu,102,CSD60708,3,0,0
CSD60708,Penambangan Data,Teknologi Informasi,2,Pengampu,97,CSD60708,3,0,0
COM60016,Pengantar Keilmuan Komputer,Teknologi Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",47,COM60016,2,0,1
COM60016,Pengantar Keilmuan Komputer,Teknologi Informasi,1,"Pengelola, Pengampu",4,COM60016,2,0,1
