Kode MK,Nama MK,Prodi MK,Prioritas,Berminat,Nama Dosen,Kode MK_y,SKS,Praktikum,Kewajiban
CIS62103,Jaringan dan Komputasi Awan,Sistem Informasi,1,Pengampu,20,CIS62103,2,0,1
CIS62103,Jaringan dan Komputasi Awan,Sistem Informasi,1,Pengampu,41,CIS62103,2,0,1
CIS62103,Jaringan dan Komputasi Awan,Sistem Informasi,1,Pengampu,75,CIS62103,2,0,1
CIS62103,Jaringan dan Komputasi Awan,Sistem Informasi,2,Pengampu,21,CIS62103,2,0,1
CIS62103,Jaringan dan Komputasi Awan,Sistem Informasi,2,Pengampu,65,CIS62103,2,0,1
CIS62103,Jaringan dan Komputasi Awan,Sistem Informasi,2,Pengampu,79,CIS62103,2,0,1
CIS61128,Keamanan Jaringan dan Siber,Sistem Informasi,1,Pengampu,17,CIS61128,3,0,0
CIS61106,Keamanan dan Privasi Data,Sistem Informasi,1,Pengampu,17,CIS61106,2,0,1
CIS61106,Keamanan dan Privasi Data,Sistem Informasi,1,Pengampu,75,CIS61106,2,0,1
CIS61106,Keamanan dan Privasi Data,Sistem Informasi,1,Pengampu,108,CIS61106,2,0,1
CIS62112,Kecerdasan Bisnis dan Analitik,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",72,CIS62112,3,0,1
CIS62112,Kecerdasan Bisnis dan Analitik,Sistem Informasi,1,"Pengelola, Pengampu",94,CIS62112,3,0,1
CIS62112,Kecerdasan Bisnis dan Analitik,Sistem Informasi,1,"Pengelola, Pengampu",102,CIS62112,3,0,1
CIS62112,Kecerdasan Bisnis dan Analitik,Sistem Informasi,1,Pengampu,87,CIS62112,3,0,1
UBU60003,Kewirausahaan,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",87,UBU60003,2,0,1
UBU60003,Kewirausahaan,Sistem Informasi,2,"Pengelola, Pengampu",47,UBU60003,2,0,1
UBU60003,Kewirausahaan,Sistem Informasi,2,Pengampu,62,UBU60003,2,0,1
CIS61115,Komunikasi Profesional,Sistem Informasi,1,Pengampu,87,CIS61115,2,0,1
CIS61115,Komunikasi Profesional,Sistem Informasi,1,Pengampu,108,CIS61115,2,0,1
CIS61103,Manajemen Bisnis,Sistem Informasi,1,Pengampu,87,CIS61103,2,0,1
CIS61103,Manajemen Bisnis,Sistem Informasi,1,Pengampu,108,CIS61103,2,0,1
CIS62115,Manajemen Investasi Teknologi Informasi,Sistem Informasi,1,"Koordinator Pengelola, Pengelola, Pengampu",94,CIS62115,3,0,0
CIS62115,Manajemen Investasi Teknologi Informasi,Sistem Informasi,1,"Pengelola, Pengampu",62,CIS62115,3,0,0
CIS62115,Manajemen Investasi Teknologi Informasi,Sistem Informasi,1,Pengampu,6,CIS62115,3,0,0
